Generation,PID,Epoch, Training Loss, Validation Loss,Best loss (Generation), Accuracy,EarlyStopCount,Runtime
7,2,5,0.08685326,0.08569485,0.08569485,0.8535,   0/  3,4.14752913
7,2,6,0.08378122,0.08196135,0.08196135,0.8543,   0/  3,4.14578891
7,2,7,0.08182302,0.08251027,0.08196135,0.8628,   1/  3,4.14794922
7,2,8,0.07943355,0.08240677,0.08196135,0.8611,   2/  3,4.17541432
7,2,9,0.07850623,0.08126865,0.08126865,0.8589,   2/  3,4.24326062
7,2,10,0.07692298,0.07785353,0.07785353,0.8726,   2/  3,4.31111717
7,2,11,0.07560605,0.0775316,0.0775316,0.8776,   2/  3,4.34809995
7,2,12,0.07527471,0.07631649,0.07631649,0.876,   2/  3,4.46588135
7,2,13,0.07523844,0.07551394,0.07551394,0.8742,   2/  3,4.65343595
7,2,14,0.07401011,0.07534701,0.07534701,0.8804,   2/  3,4.66428661
7,2,15,0.0735873,0.07567671,0.07534701,0.878,   3/  3,4.66528964
7,3,0,0.21684069,0.18944013,0.18944013,0.6328,   0/  3,4.11610532
7,3,1,0.17704475,0.16754137,0.16754137,0.6773,   0/  3,4.14881611
7,3,2,0.16501518,0.15622108,0.15622108,0.6906,   0/  3,4.1511035
7,3,3,0.15863715,0.15892231,0.15622108,0.6851,   1/  3,4.14572644
7,3,4,0.15509218,0.15330748,0.15330748,0.6949,   1/  3,4.14540577
7,3,5,0.15208496,0.15506657,0.15330748,0.6975,   2/  3,4.14704561
7,3,6,0.15123494,0.15224272,0.15224272,0.6886,   2/  3,4.14765453
7,3,7,0.14955173,0.14713626,0.14713626,0.7141,   2/  3,4.14221859
7,3,8,0.14949384,0.14617258,0.14617258,0.7145,   2/  3,4.16809392
7,3,9,0.14809407,0.14683687,0.14617258,0.7139,   3/  3,4.24298835
7,4,0,0.19263209,0.13310099,0.13310099,0.7293,   0/  3,4.14495826
7,4,1,0.13403239,0.12760227,0.12760227,0.7439,   0/  3,4.1889832
7,4,2,0.12621124,0.12135552,0.12135552,0.7686,   0/  3,4.17339182
7,4,3,0.1175632,0.11177596,0.11177596,0.7952,   0/  3,4.16659331
7,4,4,0.10785349,0.10337055,0.10337055,0.8045,   0/  3,4.16370654
7,4,5,0.10229536,0.10673945,0.10337055,0.8063,   1/  3,4.16070771
7,4,6,0.0987958,0.09513687,0.09513687,0.8325,   1/  3,4.15559292
7,4,7,0.09486114,0.09119934,0.09119934,0.8405,   1/  3,4.15913224
7,4,8,0.09275878,0.08977586,0.08977586,0.8427,   1/  3,4.1846416
7,4,9,0.09018317,0.08812158,0.08812158,0.8489,   1/  3,4.25114584
7,4,10,0.0875016,0.08628925,0.08628925,0.852,   1/  3,4.33080864
7,4,11,0.08624889,0.08613508,0.08613508,0.8515,   1/  3,4.37569094
7,4,12,0.08488637,0.08477142,0.08477142,0.8512,   1/  3,4.47464609
7,4,13,0.08400861,0.08415759,0.08415759,0.8548,   1/  3,4.71738768
7,4,14,0.0837241,0.08271714,0.08271714,0.8562,   1/  3,4.77898335
7,4,15,0.08353163,0.08367198,0.08271714,0.8605,   2/  3,4.7741816
7,4,16,0.0828568,0.08393807,0.08271714,0.8536,   3/  3,4.77440858
7,5,0,0.19100106,0.15992909,0.15992909,0.657,   0/  3,4.1482141
7,5,1,0.15784944,0.15592738,0.15592738,0.6693,   0/  3,4.18617964
7,5,2,0.14746191,0.13899171,0.13899171,0.7082,   0/  3,4.18380404
7,5,3,0.13058761,0.1177193,0.1177193,0.7786,   0/  3,4.16530347
7,5,4,0.11203008,0.10733736,0.10733736,0.8103,   0/  3,4.15997362
