Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation),Accuracy,EarlyStop Count,Runtim
4,8,1,0.32501546,0.32496228,0.32496228,0.1135,   0/  3,3.89151073
4,8,2,0.32500312,0.32495884,0.32495884,0.1135,   0/  3,3.90056777
4,8,3,0.32499317,0.32496261,0.32495884,0.1135,   1/  3,3.89830256
4,8,4,0.32499367,0.32490117,0.32490117,0.1135,   1/  3,3.8973
4,8,5,0.32499415,0.3249657,0.32490117,0.1135,   2/  3,3.90186048
4,8,6,0.32499453,0.32494016,0.32490117,0.1135,   3/  3,3.89354634
4,9,0,0.31064921,0.24763742,0.24763742,0.3331,   0/  3,3.78463316
4,9,1,0.24179643,0.23500578,0.23500578,0.3581,   0/  3,3.81444359
4,9,2,0.23461046,0.2342005,0.2342005,0.3478,   0/  3,3.80661249
4,9,3,0.23144637,0.22900077,0.22900077,0.385,   0/  3,3.80829811
4,9,4,0.22916661,0.2271125,0.2271125,0.3837,   0/  3,3.80797148
4,9,5,0.22950752,0.23475456,0.2271125,0.3731,   1/  3,3.80999017
4,9,6,0.22801884,0.22664443,0.22664443,0.3813,   1/  3,3.80333281
4,9,7,0.22727371,0.22604145,0.22604145,0.393,   1/  3,3.81159043
4,9,8,0.22712162,0.22674052,0.22604145,0.3797,   2/  3,3.81560063
4,9,9,0.22701133,0.22842125,0.22604145,0.3873,   3/  3,3.81587601
5,0,0,0.35694554,0.32495853,0.32495853,0.1135,   0/  3,3.86809063
5,0,1,0.32498461,0.32496239,0.32495853,0.1135,   1/  3,3.88097906
5,0,2,0.32498534,0.32499903,0.32495853,0.1135,   2/  3,3.88032699
5,0,3,0.32499736,0.32497116,0.32495853,0.1135,   3/  3,3.87919617
5,1,0,0.33672835,0.26348493,0.26348493,0.2301,   0/  3,3.86755872
5,1,1,0.23979628,0.23395847,0.23395847,0.3572,   0/  3,3.89797115
5,1,2,0.23278435,0.23101576,0.23101576,0.3803,   0/  3,3.90543127
5,1,3,0.23064558,0.22940523,0.22940523,0.378,   0/  3,3.90287304
5,1,4,0.22895741,0.22874885,0.22874885,0.4359,   0/  3,3.90137529
5,1,5,0.227068,0.22218976,0.22218976,0.4526,   0/  3,3.89874077
5,1,6,0.21328557,0.20867252,0.20867252,0.4592,   0/  3,3.89462852
5,1,7,0.20888802,0.20921392,0.20867252,0.4484,   1/  3,3.90481567
5,1,8,0.20807128,0.20737522,0.20737522,0.4589,   1/  3,3.91502357
5,1,9,0.2070545,0.20762195,0.20737522,0.4607,   2/  3,3.94918227
5,1,10,0.20660609,0.20625,0.20625,0.4524,   2/  3,3.96291494
5,1,11,0.20628636,0.20777968,0.20625,0.4707,   3/  3,3.98100734
5,2,0,0.33704389,0.32495036,0.32495036,0.1135,   0/  3,3.81739473
5,2,1,0.32502714,0.32510646,0.32495036,0.0982,   1/  3,3.8209312
5,2,2,0.32505642,0.32499271,0.32495036,0.1135,   2/  3,3.82815242
5,2,3,0.32505527,0.32497723,0.32495036,0.1135,   3/  3,3.82662249
5,3,0,0.32943772,0.29136499,0.29136499,0.2109,   0/  3,3.85898209
5,3,1,0.2878971,0.28411153,0.28411153,0.206,   0/  3,3.88517332
5,3,2,0.28476705,0.28238978,0.28238978,0.2129,   0/  3,3.89058566
5,3,3,0.28373916,0.2823254,0.2823254,0.2131,   0/  3,3.89226913
5,3,4,0.28358082,0.28247122,0.2823254,0.2145,   1/  3,3.89038372
5,3,5,0.28327737,0.28233797,0.2823254,0.2128,   2/  3,3.88272357
5,3,6,0.28314432,0.28204987,0.28204987,0.2133,   2/  3,3.88839054
5,3,7,0.28305769,0.28244894,0.28204987,0.2144,   3/  3,3.90344501
5,4,0,0.34793838,0.32508423,0.32508423,0.1135,   0/  3,3.89996505
5,4,1,0.32502227,0.32495694,0.32495694,0.1135,   0/  3,3.9134841
5,4,2,0.32500306,0.32499518,0.32495694,0.1135,   1/  3,3.91130042
5,4,3,0.32501473,0.325038,0.32495694,0.1135,   2/  3,3.9116323
5,4,4,0.32502199,0.32493487,0.32493487,0.1135,   2/  3,3.90689707
5,4,5,0.32500887,0.32497842,0.32493487,0.1028,   3/  3,3.91915965
5,5,0,0.3972681,0.32516542,0.32516542,0.1135,   0/  3,3.9074347
5,5,1,0.32497844,0.32491385,0.32491385,0.1135,   0/  3,3.92639995
5,5,2,0.32495771,0.32492426,0.32491385,0.1135,   1/  3,3.92372632
5,5,3,0.32495375,0.32491448,0.32491385,0.1135,   2/  3,3.92679977
5,5,4,0.32494836,0.32492214,0.32491385,0.1135,   3/  3,3.92782736
5,6,0,0.35444137,0.32494266,0.32494266,0.1135,   0/  3,3.82604456
5,6,1,0.32502002,0.32492859,0.32492859,0.1135,   0/  3,3.83972883
5,6,2,0.32501743,0.32494016,0.32492859,0.1135,   1/  3,3.84122133
5,6,3,0.32500237,0.32500699,0.32492859,0.1135,   2/  3,3.83337855
5,6,4,0.3250142,0.32506325,0.32492859,0.1028,   3/  3,3.82977557
5,7,0,0.34777617,0.32501098,0.32501098,0.1032,   0/  3,3.93379021
5,7,1,0.32505524,0.32500237,0.32500237,0.1028,   0/  3,3.94708467
5,7,2,0.32505853,0.32494432,0.32494432,0.1135,   0/  3,3.95059109
5,7,3,0.32502259,0.32503536,0.32494432,0.1135,   1/  3,3.95089245
5,7,4,0.32502852,0.32499975,0.32494432,0.101,   2/  3,3.95699644
5,7,5,0.3250286,0.32510165,0.32494432,0.101,   3/  3,3.9511919
5,8,0,0.34118116,0.32497629,0.32497629,0.1135,   0/  3,3.85071492
5,8,1,0.32501405,0.32495131,0.32495131,0.1135,   0/  3,3.86766362
5,8,2,0.32500769,0.32492796,0.32492796,0.1135,   0/  3,3.8710556
5,8,3,0.32502328,0.32503652,0.32492796,0.1135,   1/  3,3.85811329
5,8,4,0.32500154,0.3249846,0.32492796,0.1135,   2/  3,3.87020135
5,8,5,0.32501657,0.32494523,0.32492796,0.1135,   3/  3,3.87159991
5,9,0,0.3788521,0.32500886,0.32500886,0.1135,   0/  3,3.89795446
5,9,1,0.32496057,0.3249281,0.3249281,0.1135,   0/  3,3.92474556
5,9,2,0.32495045,0.32493566,0.3249281,0.1135,   1/  3,3.93148756
5,9,3,0.32495795,0.32492309,0.32492309,0.1135,   1/  3,3.93165421
5,9,4,0.32495479,0.32493793,0.32492309,0.1135,   2/  3,3.93610477
5,9,5,0.32495396,0.32492449,0.32492309,0.1135,   3/  3,3.92385364
6,0,0,0.34915614,0.32500543,0.32500543,0.1135,   0/  3,3.86548901
6,0,1,0.32499911,0.32495419,0.32495419,0.1135,   0/  3,3.88475943
6,0,2,0.32499555,0.32493047,0.32493047,0.1135,   0/  3,3.89051795
6,0,3,0.32497975,0.32500025,0.32493047,0.1028,   1/  3,3.88623619
6,0,4,0.32498766,0.32494396,0.32493047,0.1135,   2/  3,3.88349748
