Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
1,0,4,0.18903139,0.18861971,0.18861971,0.5639,   0/  3,4.70686197
1,0,5,0.1870351,0.18378656,0.18378656,0.5908,   0/  3,4.70635772
1,0,6,0.18013764,0.17918208,0.17918208,0.6117,   0/  3,4.71545386
1,0,7,0.17342408,0.16959865,0.16959865,0.6486,   0/  3,4.71060276
1,0,8,0.16547828,0.16291168,0.16291168,0.6821,   0/  3,4.71292305
1,0,9,0.15998312,0.15761813,0.15761813,0.6801,   0/  3,4.71567631
1,0,10,0.15615198,0.15477294,0.15477294,0.686,   0/  3,4.72382092
1,0,11,0.15240918,0.15036893,0.15036893,0.6925,   0/  3,4.72423744
1,0,12,0.15020335,0.14721412,0.14721412,0.689,   0/  3,4.72932816
1,0,13,0.14734883,0.14071455,0.14071455,0.695,   0/  3,4.72980142
1,0,14,0.14030941,0.14516823,0.14071455,0.6908,   1/  3,4.73129416
1,0,15,0.13883159,0.13562551,0.13562551,0.7355,   1/  3,4.7380383
1,0,16,0.13832121,0.13647383,0.13562551,0.7351,   2/  3,4.73405099
1,0,17,0.13569237,0.13621375,0.13562551,0.7187,   3/  3,4.72854948
1,1,0,0.23057867,0.16636226,0.16636226,0.7559,   0/  3,5.35404253
1,1,1,0.13958039,0.11997595,0.11997595,0.8146,   0/  3,5.40232301
1,1,2,0.12115323,0.12125305,0.11997595,0.8161,   1/  3,5.40274453
1,1,3,0.11454962,0.10655727,0.10655727,0.8504,   1/  3,5.40358925
1,1,4,0.10919512,0.10507098,0.10507098,0.8611,   1/  3,5.40782857
1,1,5,0.10376244,0.09789561,0.09789561,0.8689,   1/  3,5.40857482
1,1,6,0.09928299,0.09861102,0.09789561,0.875,   2/  3,5.40694618
1,1,7,0.09777127,0.09942179,0.09789561,0.8655,   3/  3,5.41335297
1,2,0,0.31266142,0.25546722,0.25546722,0.3149,   0/  3,3.58553123
1,2,1,0.24418832,0.23438149,0.23438149,0.3459,   0/  3,3.58138776
1,2,2,0.22736689,0.22196852,0.22196852,0.4321,   0/  3,3.58502412
1,2,3,0.21514364,0.21041462,0.21041462,0.4692,   0/  3,3.59488511
1,2,4,0.20903009,0.20848038,0.20848038,0.4695,   0/  3,3.59298325
1,2,5,0.20560706,0.20793745,0.20793745,0.4477,   0/  3,3.59323764
1,2,6,0.20321864,0.2023611,0.2023611,0.4826,   0/  3,3.59203792
1,2,7,0.20296833,0.20067225,0.20067225,0.475,   0/  3,3.59501147
1,2,8,0.20020269,0.19969396,0.19969396,0.4718,   0/  3,3.59285998
1,2,9,0.19911771,0.1983561,0.1983561,0.4783,   0/  3,3.60833788
1,2,10,0.19695221,0.19656375,0.19656375,0.471,   0/  3,3.6234889
1,2,11,0.19322401,0.19229126,0.19229126,0.4954,   0/  3,3.62870502
1,2,12,0.19100996,0.18938359,0.18938359,0.5012,   0/  3,3.65328598
1,2,13,0.18918437,0.19387395,0.18938359,0.5011,   1/  3,3.69738984
1,2,14,0.18837954,0.18806265,0.18806265,0.4991,   1/  3,3.71321988
1,2,15,0.18639421,0.18698622,0.18698622,0.5026,   1/  3,3.71416044
1,2,16,0.18389821,0.19631767,0.18698622,0.4964,   2/  3,3.71588278
1,2,17,0.17776055,0.17223372,0.17223372,0.5697,   2/  3,3.71627951
